"cohort","patient","cell","MES","AC","OPC","NPC","state","bp_x","bp_y"
"10X","124","124_2_979",0.558204758157647,0.81216392377618,0.0917365855682252,-0.00771148657859277,"AC",-0.326490368459858,-0.720427338207955
"10X","124","124_2_980",-0.224002304288813,-0.465908412038779,-0.121333652571309,1.20304447919967,"NPC",1.21684478666622,1.42704678348849
"10X","124","124_2_981",1.53120997482164,0.465697937156867,0.0207148255311362,-0.0851247565982744,"MES",1.04649946814788,-1.51049514929051
"10X","124","124_2_982",0.360882804653764,-0.289000374222657,-0.249535111576329,-0.409437102766583,"MES",0.722363877063687,-0.610417916230093
"10X","124","124_2_983",1.41417758783261,0.969923999290386,0.0626079386862105,-0.0687149783064477,"MES",0.53032407935219,-1.3515696491464
"10X","124","124_2_984",-0.0809753166308962,-0.490470251439238,-0.0723761671858786,1.55012484499451,"NPC",1.39094332962517,1.6311001616254
"10X","124","124_2_985",1.74636382841574,0.500749117003408,-0.0970541666310133,-0.0836959356826707,"MES",1.16711042034003,-1.83005976409841
"10X","124","124_2_986",0.990320183751026,-0.592164894354896,-0.169723163150305,-0.385103297213177,"MES",1.36876001305751,-1.16004334690133
"10X","124","124_2_987",0.715585091168578,-0.506823126510236,-0.297877075754574,-0.222640411568451,"MES",1.15212383901733,-0.938225502737029
"10X","124","124_2_988",0.637056426233102,-0.586945720823987,-0.307111208326081,-0.209280231015472,"MES",1.1531581808434,-0.846336657248573
"10X","124","124_2_989",1.05207836816813,1.17203856614598,0.619204856964175,0.0665999667936035,"AC",-0.163447461568303,-0.5528337091818
"10X","124","124_2_990",-0.24809736801059,-0.639480791096289,-0.171272740186346,0.866160185969509,"NPC",1.02675256550562,1.1142575539801
"10X","124","124_2_991",-0.204881435458425,-0.0293382685179994,0.630654211730315,1.20292400957909,"NPC",0.652848801960748,1.23226227809709
"10X","124","124_2_993",-0.187935661672352,-0.455207489332139,-0.291085884910575,1.21551790536134,"NPC",1.32573397264428,1.40345356703369
"10X","124","124_2_994",0.238984618581343,-0.553065909418892,-0.362721203064557,-0.280824908530858,"MES",0.841611315669889,-0.519809527112201
"10X","124","124_2_995",1.15765680926095,-0.578226469522717,-0.306534281755725,-0.399072086435519,"MES",1.45200668171796,-1.46419109101667
"10X","124","124_2_997",-0.246410624330749,0.788458898152543,0.887992465964539,0.249692610420889,"OPC",-0.712199435436992,0.0995335678119958
"10X","124","124_2_998",1.04521704529588,-0.49560098950912,-0.141630218126897,-0.259166002589308,"MES",1.34529305792388,-1.18684726342278
"10X","124","124_2_999",-0.132823902852775,0.421379491973282,0.840144814601959,0.648174706310887,"OPC",-0.253348056973767,0.418765322628678
"10X","124","124_2_1000",1.27684145356167,0.288458191968371,-0.0350248904674275,-0.0630876648847048,"MES",0.99159586369492,-1.3118663440291
"10X","124","124_2_1001",-0.069847475573165,-0.688315439504596,-0.25600879137874,1.36357759541275,"NPC",1.38933903892649,1.43342507098591
"10X","124","124_2_1002",-0.189434471099457,-0.498660386976349,-0.20404915218208,1.35662107450974,"NPC",1.35652146888607,1.5460555456092
"10X","124","124_2_1003",1.00557484626896,-0.586232626002942,-0.394509268627555,-0.026316027054904,"MES",1.37395855421223,-1.03189087332387
"10X","124","124_2_1004",0.320248923400331,-0.428501276765969,-0.23940079426389,-0.297446982911803,"MES",0.806324222524502,-0.559649717664221
"10X","124","124_2_1005",-0.133766476179919,-0.676468812265831,-0.264437090622229,1.35003046509493,"NPC",1.3865171671454,1.48379694127485
"10X","124","124_2_1006",1.07516498581838,0.690117332311977,0.0857134398632033,-0.195235039330369,"MES",0.469935614032346,-0.989451545955175
"10X","124","124_2_1007",1.67367527920131,0.473965449287714,0.0731098999687343,-0.0346894365845939,"MES",1.13731322622512,-1.60056537923258
"10X","124","124_2_1008",0.159974919749169,-0.466684721083007,-0.271842158595591,-0.208393949986817,"MES",0.701912415822046,-0.368368869735985
"10X","124","124_2_1009",-0.115897068210123,-0.695905252541247,-0.289353464210369,1.53927476330538,"NPC",1.50010257278758,1.65517183151551
"10X","124","124_2_1010",-0.0207895004387766,-0.513114692895082,-0.243352655031565,1.1298972534139,"NPC",1.2468640274983,1.15068675385268
"10X","124","124_2_1011",0.0524243016951161,-0.577770700901381,-0.233368863503475,-0.232923119217022,"MES",0.705044548782775,-0.285347420912138
"10X","124","124_2_1012",0.894368599045247,-0.647872623699465,-0.341053143660795,-0.320054284123459,"MES",1.34610092819746,-1.21442288316871
"10X","124","124_2_1013",1.320428250462,-0.556220735767134,-0.279066839785525,-0.316113110629294,"MES",1.52438919162933,-1.59949509024753
"10X","124","124_2_1014",0.918855135120796,-0.313192640517256,-0.117449123932081,-0.272654100954699,"MES",1.15836790751586,-1.03630425905288
"10X","124","124_2_1015",-0.22134104300978,-0.596882158894915,-0.331209601940889,0.997895292415903,"NPC",1.21977561471435,1.21923633542568
"10X","124","124_2_1016",0.197232322918882,-0.437963986431219,-0.270642398651073,-0.311078235851388,"MES",0.709463845218703,-0.467874721569955
"10X","124","124_2_1017",0.693401049578374,0.138237018778462,-0.00508895580987384,-0.0958934628407592,"MES",0.637066756523734,-0.698490005388248
"10X","124","124_2_1018",0.688839817257167,0.708826477597329,0.135871083309568,-0.0225905247485882,"AC",-0.0285502843664359,-0.572955394287761
"10X","124","124_2_1019",-0.0727239989781249,-0.575091646854727,-0.224024933856252,1.44653755077676,"NPC",1.41714364016174,1.51926154975489
"10X","124","124_2_1020",0.652618011073154,-0.615756106305943,-0.279492972508207,-0.402077592310549,"MES",1.18165860005806,-0.932110983581361
"10X","124","124_2_1021",-0.206452724362947,-0.562011403436316,-0.332872540788951,1.42068414012932,"NPC",1.46129630612382,1.62713686449227
"10X","124","124_2_1022",0.304654724493985,0.796118213016652,0.270247430586643,0.210266420172992,"AC",-0.576728660494428,-0.525870782430009
"10X","124","124_2_1023",0.0888345084003274,-0.59757101244621,-0.121626028623142,1.15199081916153,"NPC",1.18498915028329,1.0631563107612
