"cluster","rank","gene","score","pval","pval_adj","logfc"
"0",47,"PPA1",0.929797972222639,2.07994989003677e-22,2.85244327919643e-18,0.929797972222639
"0",48,"RPS25",0.925482201598807,2.25483749842395e-200,3.09228414533861e-196,0.925482201598807
"0",49,"SEPT1",0.916952261658381,6.78903644052042e-16,9.3104845745297e-12,0.916952261658381
"0",50,"PEBP1",0.896626389847152,2.04756919339451e-31,2.80803639182123e-27,0.896626389847152
"1",1,"FOLR3",7.07557764062234,8.28340178689582e-137,1.13598572105489e-132,7.07557764062234
"1",2,"S100A12",6.75209709336787,1.97097415013623e-122,2.70299394949682e-118,6.75209709336787
"1",3,"S100A8",6.56314326701415,0,0,6.56314326701415
"1",4,"S100A9",6.14219676703052,0,0,6.14219676703052
"1",5,"CD14",5.85606792311765,5.33488856468876e-292,7.31626617761417e-288,5.85606792311765
"1",6,"ASGR1",5.56271296579642,4.67496240171938e-146,6.41124343771796e-142,5.56271296579642
"1",7,"LGALS2",5.54748469241972,0,0,5.54748469241972
"1",8,"MS4A6A",5.31970985035159,6.32600139670752e-278,8.6754783154447e-274,5.31970985035159
"1",9,"RBP7",5.04568355484453,2.63784379025427e-129,3.61753897395471e-125,5.04568355484453
"1",10,"LYZ",4.68495323026004,1.8573409866417e-265,2.54715742908042e-261,4.68495323026004
"1",11,"BST1",4.59234517684034,3.14494148431493e-113,4.31297275158949e-109,4.59234517684034
"1",12,"PLBD1",4.44228970781802,1.43669655446247e-110,1.97028565478983e-106,4.44228970781802
"1",13,"CSF3R",4.24302658379207,7.36923236476441e-151,1.01061652650379e-146,4.24302658379207
"1",14,"IL8",4.19231328316375,6.23046376415685e-78,8.5444580061647e-74,4.19231328316375
"1",15,"FCN1",4.06449511764913,0,0,4.06449511764913
"1",16,"FPR1",4.05404624074285,1.54527872138747e-138,2.11919523851078e-134,4.05404624074285
"1",17,"CD33",3.93755709318591,1.06695052438914e-85,1.46321594914727e-81,3.93755709318591
"1",18,"VCAN",3.89879064944224,6.63732131182075e-116,9.10242244703098e-112,3.89879064944224
"1",19,"CDA",3.88458471675229,1.76076603978855e-165,2.41471454696601e-161,3.88458471675229
"1",20,"TMEM176B",3.82812968980662,1.38519578750216e-89,1.89965750298047e-85,3.82812968980662
"1",21,"ALDH2",3.81018820095785,8.20511716309535e-146,1.1252497677469e-141,3.81018820095785
"1",22,"IL1B",3.7236392625782,9.95700405712527e-67,1.36550353639416e-62,3.7236392625782
"1",23,"IGSF6",3.71451741816259,2.26755664601732e-112,3.10972718434815e-108,3.71451741816259
"1",24,"RAB32",3.70634463012723,1.52267861021415e-83,2.08820144604769e-79,3.70634463012723
"1",25,"NUP214",3.67231075159147,1.82299965010605e-146,2.50006172015544e-142,3.67231075159147
"1",26,"BLVRB",3.62498461365221,1.01363857766059e-152,1.39010394540373e-148,3.62498461365221
"1",27,"GRN",3.59474361738875,1.84325019540977e-212,2.52783331798496e-208,3.59474361738875
"1",28,"NCF2",3.56351361844176,5.21267277607867e-156,7.14865944511428e-152,3.56351361844176
"1",29,"SMCO4",3.46312677609864,1.68220093093046e-91,2.30697035667803e-87,3.46312677609864
"1",30,"SLC7A7",3.44003753561773,2.96021372305403e-130,4.0596370997963e-126,3.44003753561773
"1",31,"CPVL",3.38436287440391,3.02492216272004e-94,4.14837825395426e-90,3.38436287440391
"1",32,"APOBEC3A",3.3364183494355,9.34037259166605e-108,1.28093869722108e-103,3.3364183494355
"1",33,"MNDA",3.32939311391957,6.72668335293636e-111,9.22497355021693e-107,3.32939311391957
"1",34,"TNFSF13B",3.3140177843358,3.24106670666874e-115,4.44479888152551e-111,3.3140177843358
"1",35,"MAFB",3.29056925388335,2.2458054157609e-58,3.07989754717449e-54,3.29056925388335
"1",36,"ODF3B",3.27836239398945,4.56743446188618e-93,6.2637796210307e-89,3.27836239398945
"1",37,"TYROBP",3.25265771465082,5.53633956775291e-282,7.59253608321635e-278,3.25265771465082
"1",38,"TGFBI",3.2319715866245,2.55540728472978e-84,3.50448555027842e-80,3.2319715866245
"1",39,"CEBPD",3.21488002400015,1.64803427748077e-174,2.26011420813713e-170,3.21488002400015
"1",40,"FCGR2A",3.19217043111943,1.90338901512132e-52,2.61030769533738e-48,3.19217043111943
"1",41,"CST3",3.17473613224329,2.75511405494122e-266,3.77836341494639e-262,3.17473613224329
"1",42,"CFD",3.15151599627367,1.81373972813108e-232,2.48736266315897e-228,3.15151599627367
