index,palantir_pseudotime,palantir_entropy,cluster,fate_Ery,fate_Lymph,fate_DC,fate_Mono
Run4_121955406802230,0.2563216012161105,1.254556843661871,1,0.3936310900941134,0.08305874105193428,0.1885046521677607,0.33480551668620684
Run4_121955407021878,0.40883754579582327,1.0178356071250376,2,0.6260992975273246,0.04855302716846284,0.11691875179890215,0.20842892350533446
Run4_121955407285596,0.06281871426466916,1.3132737445307425,0,0.30201265953887513,0.12205364835529171,0.20884401737564057,0.36708967473020326
Run4_121955419114358,0.13293236527538332,1.305443460882175,1,0.3037878093502772,0.11394182922954574,0.21074444416345053,0.37152591725673867
Run4_121955419114862,0.36959369892024074,1.2474430310861013,1,0.2406079098547227,0.07802480194363366,0.24362046231267934,0.4377468258889722
Run4_121965741528803,0.9058165537382826,0.0802207414654022,8,0.9872888044413882,0.0,0.0,0.0
Run4_121965753884006,0.4521221848578383,1.141622776607886,6,0.13774263314939109,0.04564130751772359,0.36896818095779343,0.4476478783750954
Run4_121965754366373,0.6790645453334253,0.6328712649773461,6,0.055113721508305215,0.01814290509908762,0.10617470225626995,0.8205686711363424
Run4_121965773241694,0.7118916436271829,0.6015671690297993,2,0.836320522345404,0.020976634145767024,0.051258157428287945,0.09144468608055681
Run4_122282776423132,0.18648041073143565,1.3555982546711065,0,0.26548381914067265,0.18679816865059976,0.20167028861179453,0.34604772359694275
Run4_122282795515302,0.16819911467591916,1.2849260107902236,0,0.34839394248320976,0.0984682039247016,0.1997417555315814,0.35339609806052086
Run4_122282795519324,0.34188682483090815,1.2544204101052467,1,0.2474417041329811,0.08091285913441311,0.24042205995059832,0.43122337678201583
Run4_122282795812787,0.1963203754785298,1.2554422943704349,0,0.4008269782091188,0.08613990362017339,0.18498569623805075,0.32804742193267267
Run4_122282795818213,0.4606587317398229,1.2198037408699614,5,0.15415071901670085,0.510466871060621,0.12584561787398502,0.20953679204870004
Run4_122293352294813,0.26317541958843316,1.2800900345042563,1,0.271979708497985,0.09449291870054108,0.2278981906807724,0.4056291821207122
Run4_122293366708085,0.11474989023758261,1.3089996254756804,1,0.30306885867215994,0.11754425441873642,0.20987586465925417,0.3695110222498614
Run4_122293367462116,0.24880971640319116,1.3020607937594268,1,0.27411986813633227,0.11273124491028538,0.22190795877300487,0.3912409281803879
Run4_122293367564598,0.5407338043564484,0.9008245483669282,2,0.6976251597291483,0.038795506514151444,0.09468024733070182,0.16889908642602205
Run4_122293398198509,0.6520620129732713,0.6849055662430528,3,0.06198984564116567,0.02040688547457739,0.11910407560992563,0.7984991932743363
Run4_122293399013212,0.4682405406502914,1.217151344289314,4,0.21334691233193276,0.06839496818630134,0.2536358074129071,0.4646223120688662
