"cell","samples","orig.ident","lineage","ExclusionScore"
"cy80_CD45_neg_F12_S936_comb","Mel80","cy80","Endothelial",-0.212170335940645
"cy80_CD45_neg_F10_S934_comb","Mel80","cy80","Endothelial",-0.237281230258937
"CY89FNA_D05_S233_comb","Mel89","CY89FNA","Endothelial",-0.271672973406225
"CY94CD45POS_1_A06_S102_comb","Mel94","CY94CD45POS","B_cell",-0.211647025573827
"cy80_Cd45_pos_Pd1_neg_S241_C01_S241_comb","Mel80","cy80","B_cell",-0.23388560654091
"cy82_CD45_pos_2_G12_S564_comb","Mel82","cy82","B_cell",-0.172455733393163
"CY84_PRIM_POS_ALL_8_E07_S151_comb","Mel84","CY84","Myeloid",-0.280945889314107
"CY89A_Core_15_B03_S15_comb","Mel89","CY89A","T_cell",-0.280468700405787
"cy80_CD45_neg_A10_S394_comb","Mel80","cy80","B_cell",-0.19248991387342
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G06_S558_comb","Mel79","cy79","B_cell",-0.243428773724202
"cy80_CD_90_pos_F09_S933_comb","Mel80","cy80","CAF",-0.0505822655079175
"CY94CD45POS_1_D07_S139_comb","Mel94","CY94CD45POS","B_cell",-0.278018217697257
"cy94_cd45pos_B06_S114_comb","Mel94","cy94","B_cell",-0.264133965967131
"CY84_PRIM_POS_ALL_7_B06_S210_comb","Mel84","CY84","NK",-0.248768344329748
"cy80_CD_90_pos_F03_S927_comb","Mel80","cy80","CAF",-0.153712241204061
"CY58_1_CD45_B06_S978_comb","Mel58","CY58","Myeloid",-0.259299295181818
"cy88_cd_45_pos_E06_S438_comb","Mel88","cy88","Myeloid",-0.138566342031913
"cy84_Primary_CD45_pos_G02_S458_comb","Mel84","cy84","B_cell",-0.276885513106229
"cy79_p4_CD45_pos_PD1_pos_B10_S310_comb","Mel79","cy79","B_cell",-0.145896200712204
"CY84_PRIM_POS_ALL_8_B11_S119_comb","Mel84","CY84","Myeloid",-0.0580202320656356
"cy94_cd45pos_4_B06_S18_comb","Mel94","cy94","Myeloid",-0.268722641877236
"cy94_cd45pos_4_D08_S44_comb","Mel94","cy94","B_cell",-0.307585791689573
"cy60_1_cd_45_pos_3_F03_S351_comb","Mel60","cy60","B_cell",-0.300673563842576
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_D02_S998_comb","Mel60","cy60","B_cell",-0.222467131388835
"CY89FNA_A03_S195_comb","Mel89","CY89FNA","NK",-0.259435034666938
"cy74_CD45_pos_E07_S727_comb","Mel74","cy74","B_cell",-0.279839074112342
"CY88CD45_150813_F06_S354_comb","Mel88","CY88CD45","Myeloid",-0.0343132223008051
"cy88_cd_45_pos_B11_S407_comb","Mel88","cy88","B_cell",-0.1039817679947
"Cy74_CD45_D08_S428_comb","Mel74","Cy74","B_cell",-0.216804606317019
"cy53_1_CD45_neg_H05_S377_comb","Mel53","cy53","Endothelial",-0.255784168558651
"Cy72_CD45_A01_S673_comb","Mel72","Cy72","B_cell",-0.325650579887487
"CY89A_Core_15_G12_S84_comb","Mel89","CY89A","T_cell",-0.238254250964435
"cy53_1_CD45_pos_2_D05_S1001_comb","Mel53","cy53","Endothelial",-0.337147511362042
"CY89A_CD45_POS_6_E01_S145_comb","Mel89","CY89A","B_cell",-0.271550229239556
"cy80_Cd45_pos_Pd1_neg_S339_G03_S339_comb","Mel80","cy80","B_cell",-0.234962308736759
"cy72_CD45_pos_B06_S882_comb","Mel72","cy72","B_cell",-0.292634380512144
"cy79_p3_CD45_pos_PD1_neg_E11_S155_comb","Mel79","cy79","B_cell",-0.226115556507684
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C12_S516_comb","Mel79","cy79","B_cell",-0.191713952815464
"cy94_cd45pos_A09_S105_comb","Mel94","cy94","B_cell",-0.278484556074409
"Cy74_CD45_C10_S418_comb","Mel74","Cy74","Endothelial",-0.206748119541929
"CY89FNA_C06_S222_comb","Mel89","CY89FNA","B_cell",-0.240037095767316
"CY84_PRIM_POS_ALL_8_E10_S154_comb","Mel84","CY84","NK",-0.169451494289178
"cy60_1_cd_45_pos_3_H10_S382_comb","Mel60","cy60","B_cell",-0.198422039888589
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H06_S1050_comb","Mel60","cy60","B_cell",-0.179021671452452
"cy94_cd45pos_F01_S157_comb","Mel94","cy94","Endothelial",-0.279096686358999
"cy53_1_CD45_pos_1_D06_S42_comb","Mel53","cy53","Myeloid",-0.232708543382326
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B01_S973_comb","Mel60","cy60","B_cell",-0.208198200083251
"cy53_1_CD45_neg_H03_S375_comb","Mel53","cy53","Endothelial",-0.164413158309095
"CY88CD45POS_2_F02_S446_comb","Mel88","CY88CD45POS","Malignant",0.288394551648831
"cy80_CD45_neg_B05_S881_comb","Mel80","cy80","Malignant",0.15845434705181
"cy60_1_cd_45_pos_4_A12_S12_comb","Mel60","cy60","B_cell",-0.205013441881843
"Cy81_Bulk_CD45_F04_S160_comb","Mel81","Cy81","CAF",0.0688827292069178
"cy60_1_cd_45_pos_3_F05_S353_comb","Mel60","cy60","B_cell",-0.196540063594187
"CY89FNAQ2_D04_S424_comb","Mel89","CY89FNAQ2","Malignant",0.400832931664928
